Település,Településtípus,2022-es helyezés a rangsorban,2022-es Indexpontszám,rangsor2014,index2014,Rangsor helyezés változása 2014-hez képest,Indexpontszám változása 2014-hez képest
Mánfa,Kistelepülés,1053,"9,8",1194,"8,2",141,"-1,6"
Szajk,Kistelepülés,715,"10,6",705,9,-10,"-1,6"
Nemesbük,Kistelepülés,693,"10,6",2192,7,1499,"-3,6"
Gölle,Kistelepülés,2118,"8,2",1760,"7,5",-358,"-0,7"
Ipolyvece,Kistelepülés,1633,"8,9",657,"9,1",-976,"0,2"
Felsőszentmárton,Kistelepülés,1824,"8,6",1733,"7,6",-91,-1
Nagycsécs,Kistelepülés,2000,"8,4",1590,"7,7",-410,"-0,7"
Váralja,Kistelepülés,1408,"9,2",1391,8,-17,"-1,2"
Zalaszentlászló,Kistelepülés,1360,"9,3",1207,"8,2",-153,"-1,1"
Osztopán,Kistelepülés,2060,"8,3",2189,"7,1",129,"-1,2"
Pölöske,Kistelepülés,1630,"8,9",1747,"7,5",117,"-1,4"
Borzavár,Kistelepülés,1709,"8,7",1229,"8,2",-480,"-0,5"
Úny,Kistelepülés,2068,"8,3",1436,"7,9",-632,"-0,4"
Gánt,Kistelepülés,876,"10,1",318,10,-558,"-0,1"
Szorgalmatos,Kistelepülés,1381,"9,2",782,"8,8",-599,"-0,4"
Gyód,Kistelepülés,1598,"8,9",1618,"7,7",20,"-1,2"
Nova,Kistelepülés,545,"11,2",438,"9,6",-107,"-1,6"
Ostffyasszonyfa,Kistelepülés,880,"10,1",454,"9,6",-426,"-0,5"
Csikóstőttős,Kistelepülés,2053,"8,3",1372,8,-681,"-0,3"
Dunaszentpál,Kistelepülés,752,"10,5",568,"9,3",-184,"-1,2"
Karmacs,Kistelepülés,1589,"8,9",1211,"8,2",-378,"-0,7"
Püspökszilágy,Kistelepülés,1037,"9,8",1666,"7,6",629,"-2,2"
Tarnabod,Kistelepülés,2817,"6,3",2802,"5,6",-15,"-0,7"
Litke,Kistelepülés,2126,"8,2",2400,"6,8",274,"-1,4"
Marcaltő,Kistelepülés,869,"10,1",1352,8,483,"-2,1"
Berkenye,Kistelepülés,136,"13,6",105,"11,3",-31,"-2,3"
Biharugra,Kistelepülés,1179,"9,6",1111,"8,3",-68,"-1,3"
Mindszentgodisa,Kistelepülés,1861,"8,6",1652,"7,6",-209,-1
Somogyaszaló,Kistelepülés,1534,9,1607,"7,7",73,"-1,3"
Magyaratád,Kistelepülés,1644,"8,8",1147,"8,3",-497,"-0,5"
Makkoshotyka,Kistelepülés,2596,"7,3",1487,"7,8",-1109,"0,5"
Szenna,Kistelepülés,99,14,237,"10,4",138,"-3,6"
Vassurány,Kistelepülés,1421,"9,2",1464,"7,9",43,"-1,3"
Almáskamarás,Kistelepülés,1985,"8,4",1696,"7,6",-289,"-0,8"
Boba,Kistelepülés,941,10,1521,"7,8",580,"-2,2"
Csokvaomány,Kistelepülés,2397,"7,8",2590,"6,4",193,"-1,4"
Gödre,Kistelepülés,1980,"8,4",1773,"7,5",-207,"-0,9"
Kaposújlak,Kistelepülés,1259,"9,4",591,"9,2",-668,"-0,2"
Nikla,Kistelepülés,2457,"7,7",2306,"6,9",-151,"-0,8"
Pecöl,Kistelepülés,1609,"8,9",1916,"7,3",307,"-1,6"
Bánk,Kistelepülés,131,"13,6",863,"8,7",732,"-4,9"
Geresdlak,Kistelepülés,757,"10,5",654,"9,1",-103,"-1,4"
Búcsúszentlászló,Kistelepülés,961,10,792,"8,8",-169,"-1,2"
Kardoskút,Kistelepülés,700,"10,6",741,"8,9",41,"-1,7"
Keszeg,Kistelepülés,624,"10,9",773,"8,9",149,-2
Kunpeszér,Kistelepülés,1921,"8,5",1410,"7,9",-511,"-0,6"
Tiszakóród,Kistelepülés,1922,"8,5",1573,"7,7",-349,"-0,8"
Kóspallag,Kistelepülés,86,"14,4",1196,"8,2",1110,"-6,2"
Magyarhomorog,Kistelepülés,1453,"9,1",1005,"8,5",-448,"-0,6"
Taliándörögd,Kistelepülés,1454,"9,1",1107,"8,3",-347,"-0,8"
Attala,Kistelepülés,726,"10,5",861,"8,7",135,"-1,8"
Jánd,Kistelepülés,1249,"9,4",790,"8,8",-459,"-0,6"
Meggyeskovácsi,Kistelepülés,2316,"7,9",1985,"7,3",-331,"-0,6"
Csernely,Kistelepülés,2567,"7,4",2205,7,-362,"-0,4"
Harkakötöny,Kistelepülés,1013,"9,9",1721,"7,6",708,"-2,3"
Táp,Kistelepülés,746,"10,5",1479,"7,8",733,"-2,7"
Káptalanfa,Kistelepülés,1378,"9,2",1113,"8,3",-265,"-0,9"
Szabadszentkirály,Kistelepülés,2209,"8,1",459,"9,6",-1750,"1,5"
Bő,Kistelepülés,1116,"9,7",789,"8,8",-327,"-0,9"
Gógánfa,Kistelepülés,1434,"9,1",1726,"7,6",292,"-1,5"
Kőröstetétlen,Kistelepülés,989,"9,9",698,9,-291,"-0,9"
Sárhida,Kistelepülés,1738,"8,7",1571,"7,7",-167,-1
Dunaszentbenedek,Kistelepülés,1597,"8,9",1468,"7,9",-129,-1
Rábagyarmat,Kistelepülés,1568,9,1549,"7,7",-19,"-1,3"
Tomajmonostora,Kistelepülés,1461,"9,1",942,"8,6",-519,"-0,5"
Sitke,Kistelepülés,1574,9,901,"8,7",-673,"-0,3"
Bázakerettye,Kistelepülés,141,"13,5",563,"9,3",422,"-4,2"
Patvarc,Kistelepülés,409,"11,8",2077,"7,2",1668,"-4,6"
Mátramindszent,Kistelepülés,783,"10,4",1750,"7,5",967,"-2,9"
Öregcsertő,Kistelepülés,2132,"8,2",1779,"7,5",-353,"-0,7"
Somogyvámos,Kistelepülés,1470,"9,1",2079,"7,2",609,"-1,9"
Zalabér,Kistelepülés,355,12,347,"9,9",-8,"-2,1"
Drávaszabolcs,Kistelepülés,1488,"9,1",903,"8,6",-585,"-0,5"
Sajóvelezd,Kistelepülés,2404,"7,7",1924,"7,3",-480,"-0,4"
Tarhos,Kistelepülés,893,"10,1",1565,"7,7",672,"-2,4"
Csengerújfalu,Kistelepülés,2104,"8,2",1626,"7,7",-478,"-0,5"
Kisnémedi,Kistelepülés,632,"10,8",677,"9,1",45,"-1,7"
Becsvölgye,Kistelepülés,1721,"8,7",1429,"7,9",-292,"-0,8"
Mátyásdomb,Kistelepülés,2092,"8,3",1729,"7,6",-363,"-0,7"
Vése,Kistelepülés,2004,"8,4",2048,"7,2",44,"-1,2"
Várgesztes,Kistelepülés,617,"10,9",780,"8,8",163,"-2,1"
Penyige,Kistelepülés,1298,"9,4",1445,"7,9",147,"-1,5"
Tiszaigar,Kistelepülés,1995,"8,4",1913,"7,3",-82,"-1,1"
Bánd,Kistelepülés,729,"10,5",296,"10,1",-433,"-0,4"
Rudolftelep,Kistelepülés,1484,"9,1",2047,"7,2",563,"-1,9"
Jászágó,Kistelepülés,2027,"8,3",1250,"8,1",-777,"-0,2"
Nyírkércs,Kistelepülés,1665,"8,8",1452,"7,9",-213,"-0,9"
Ölbő,Kistelepülés,973,"9,9",1478,"7,8",505,"-2,1"
Tolmács,Kistelepülés,642,"10,8",930,"8,6",288,"-2,2"
Ludas,Kistelepülés,302,"12,3",1640,"7,7",1338,"-4,6"
Sajópálfala,Kistelepülés,429,"11,6",394,"9,7",-35,"-1,9"
Mihályháza,Kistelepülés,1972,"8,4",1237,"8,2",-735,"-0,2"
Tótszentmárton,Kistelepülés,1464,"9,1",1266,"8,1",-198,-1
Balatonakali,Kistelepülés,20,"17,2",4,"15,1",-16,"-2,1"
Bársonyos,Kistelepülés,1221,"9,5",1333,8,112,"-1,5"
Olcsva,Kistelepülés,2213,"8,1",2020,"7,2",-193,"-0,9"
Medina,Kistelepülés,1863,"8,6",1827,"7,4",-36,"-1,2"
Tereske,Kistelepülés,862,"10,2",1876,"7,4",1014,"-2,8"
Sáregres,Kistelepülés,2120,"8,2",1695,"7,6",-425,"-0,6"
Somogysámson,Kistelepülés,2555,"7,4",2444,"6,7",-111,"-0,7"
Karancsberény,Kistelepülés,1101,"9,7",2395,"6,8",1294,"-2,9"
Lónya,Kistelepülés,2232,8,2324,"6,9",92,"-1,1"
Szilsárkány,Kistelepülés,1793,"8,6",1099,"8,4",-694,"-0,2"
Babarc,Kistelepülés,1111,"9,7",694,9,-417,"-0,7"
Értény,Kistelepülés,2718,"6,9",2775,"5,8",57,"-1,1"
Cserhátsurány,Kistelepülés,819,"10,3",650,"9,1",-169,"-1,2"
Körösszakál,Kistelepülés,1780,"8,6",1010,"8,5",-770,"-0,1"
Alsónemesapáti,Kistelepülés,1156,"9,6",955,"8,6",-201,-1
Egyházasgerge,Kistelepülés,1690,"8,8",2078,"7,2",388,"-1,6"
Sonkád,Kistelepülés,1415,"9,2",1822,"7,5",407,"-1,7"
Tiszagyulaháza,Kistelepülés,1570,9,373,"9,8",-1197,"0,8"
Bodony,Kistelepülés,838,"10,2",808,"8,8",-30,"-1,4"
Csobád,Kistelepülés,2070,"8,3",1593,"7,7",-477,"-0,6"
Besenyőd,Kistelepülés,2538,"7,5",2533,"6,5",-5,-1
Egerfarmos,Kistelepülés,1634,"8,9",2496,"6,6",862,"-2,3"
Som,Kistelepülés,1670,"8,8",1550,"7,7",-120,"-1,1"
Gamás,Kistelepülés,1853,"8,6",2121,"7,1",268,"-1,5"
Mátraballa,Kistelepülés,538,"11,2",775,"8,9",237,"-2,3"
Vilonya,Kistelepülés,1841,"8,6",636,"9,1",-1205,"0,5"
Borsfa,Kistelepülés,1444,"9,1",1569,"7,7",125,"-1,4"
Feketeerdő,Kistelepülés,1882,"8,5",892,"8,7",-990,"0,2"
Aldebrő,Kistelepülés,95,"14,2",693,9,598,"-5,2"
Egyházaskozár,Kistelepülés,1324,"9,3",924,"8,6",-400,"-0,7"
Felsőpáhok,Kistelepülés,382,"11,9",1354,8,972,"-3,9"
Vámosújfalu,Kistelepülés,1043,"9,8",762,"8,9",-281,"-0,9"
Bolhó,Kistelepülés,2304,"7,9",2239,7,-65,"-0,9"
Alacska,Kistelepülés,1756,"8,7",1892,"7,4",136,"-1,3"
Geszt,Kistelepülés,1870,"8,5",1466,"7,9",-404,"-0,6"
Hárskút,Kistelepülés,996,"9,9",1213,"8,2",217,"-1,7"
Kolontár,Kistelepülés,1557,9,2261,7,704,-2
Mikebuda,Kistelepülés,2205,"8,1",2417,"6,7",212,"-1,4"
Magyaregregy,Kistelepülés,1687,"8,8",1719,"7,6",32,"-1,2"
Nagyút,Kistelepülés,1207,"9,5",2259,7,1052,"-2,5"
Alsóberecki,Kistelepülés,1691,"8,8",2115,"7,1",424,"-1,7"
Felsőtelekes,Kistelepülés,2324,"7,9",1925,"7,3",-399,"-0,6"
Jéke,Kistelepülés,2086,"8,3",1342,8,-744,"-0,3"
Túristvándi,Kistelepülés,1748,"8,7",1193,"8,2",-555,"-0,5"
Miháld,Kistelepülés,2242,8,2062,"7,2",-180,"-0,8"
Fácánkert,Kistelepülés,1788,"8,6",1236,"8,2",-552,"-0,4"
Kisfalud,Kistelepülés,1422,"9,2",1499,"7,8",77,"-1,4"
Nemti,Kistelepülés,683,"10,7",545,"9,4",-138,"-1,3"
Máriahalom,Kistelepülés,1262,"9,4",1711,"7,6",449,"-1,8"
Zsana,Kistelepülés,592,11,1104,"8,3",512,"-2,7"
Bakonyjákó,Kistelepülés,667,"10,7",448,"9,6",-219,"-1,1"
Dóc,Kistelepülés,1201,"9,5",2232,7,1031,"-2,5"
Kömpöc,Kistelepülés,2464,"7,6",1982,"7,3",-482,"-0,3"
Boldogkőújfalu,Kistelepülés,2761,"6,6",2818,"5,5",57,"-1,1"
Ácsteszér,Kistelepülés,1256,"9,4",878,"8,7",-378,"-0,7"
Göncruszka,Kistelepülés,2011,"8,4",1267,"8,1",-744,"-0,3"
Mórágy,Kistelepülés,1799,"8,6",1189,"8,2",-610,"-0,4"
Csengersima,Kistelepülés,1178,"9,6",838,"8,7",-340,"-0,9"
Kunbaracs,Kistelepülés,1065,"9,8",1988,"7,3",923,"-2,5"
Szeleste,Kistelepülés,816,"10,3",841,"8,7",25,"-1,6"
Alsónyék,Kistelepülés,1678,"8,8",1975,"7,3",297,"-1,5"
Balatonszőlős,Kistelepülés,1364,"9,2",1093,"8,4",-271,"-0,8"
Somogyszil,Kistelepülés,2375,"7,8",2012,"7,2",-363,"-0,6"
Bükkszék,Kistelepülés,89,"14,4",258,"10,3",169,"-4,1"
Alsónána,Kistelepülés,1866,"8,6",1651,"7,6",-215,-1
Fürged,Kistelepülés,2594,"7,3",2392,"6,8",-202,"-0,5"
Gersekarát,Kistelepülés,1315,"9,3",1208,"8,2",-107,"-1,1"
Balsa,Kistelepülés,914,"10,1",671,"9,1",-243,-1
Csikéria,Kistelepülés,1578,9,2327,"6,9",749,"-2,1"
Mecsér,Kistelepülés,1058,"9,8",717,"8,9",-341,"-0,9"
Méhtelek,Kistelepülés,1502,"9,1",1820,"7,5",318,"-1,6"
Garabonc,Kistelepülés,1288,"9,4",1442,"7,9",154,"-1,5"
Háromfa,Kistelepülés,1969,"8,4",2162,"7,1",193,"-1,3"
Kisdorog,Kistelepülés,1905,"8,5",1756,"7,5",-149,-1
Mikófalva,Kistelepülés,2057,"8,3",753,"8,9",-1304,"0,6"
Jásd,Kistelepülés,658,"10,8",1392,8,734,"-2,8"
Nagybárkány,Kistelepülés,1481,"9,1",2227,7,746,"-2,1"
Vönöck,Kistelepülés,2273,8,2128,"7,1",-145,"-0,9"
Nyírlövő,Kistelepülés,984,"9,9",1870,"7,4",886,"-2,5"
Beregsurány,Kistelepülés,1173,"9,6",1538,"7,8",365,"-1,8"
Sorkifalud,Kistelepülés,1575,9,1324,"8,1",-251,"-0,9"
Csénye,Kistelepülés,1273,"9,4",1579,"7,7",306,"-1,7"
Rábakecöl,Kistelepülés,1105,"9,7",829,"8,8",-276,"-0,9"
Dáka,Kistelepülés,2269,8,2212,7,-57,-1
Erdőkövesd,Kistelepülés,2014,"8,4",1544,"7,8",-470,"-0,6"
Nagypeterd,Kistelepülés,1353,"9,3",1036,"8,4",-317,"-0,9"
Tófej,Kistelepülés,820,"10,2",526,"9,4",-294,"-0,8"
Gyulakeszi,Kistelepülés,1462,"9,1",1148,"8,3",-314,"-0,8"
Perenye,Kistelepülés,1631,"8,9",1350,8,-281,"-0,9"
Püski,Kistelepülés,1119,"9,7",1054,"8,4",-65,"-1,3"
Kővágóörs,Kistelepülés,179,"13,1",150,"10,9",-29,"-2,2"
Nemesbőd,Kistelepülés,1218,"9,5",916,"8,6",-302,"-0,9"
Dör,Kistelepülés,1810,"8,6",1917,"7,3",107,"-1,3"
Nagyar,Kistelepülés,2561,"7,4",2474,"6,6",-87,"-0,8"
Nagynyárád,Kistelepülés,781,"10,4",603,"9,2",-178,"-1,2"
Kéty,Kistelepülés,2465,"7,6",1838,"7,4",-627,"-0,2"
Vadna,Kistelepülés,1147,"9,6",1016,"8,5",-131,"-1,1"
Cserkút,Kistelepülés,393,"11,8",464,"9,6",71,"-2,2"
Lak,Kistelepülés,2689,7,2509,"6,6",-180,"-0,4"
Szamossályi,Kistelepülés,1555,9,1578,"7,7",23,"-1,3"
Borsodivánka,Kistelepülés,1001,"9,9",418,"9,7",-583,"-0,2"
Eszteregnye,Kistelepülés,1628,"8,9",1976,"7,3",348,"-1,6"
Kétújfalu,Kistelepülés,322,"12,2",1262,"8,1",940,"-4,1"
Molnári,Kistelepülés,1595,"8,9",1641,"7,7",46,"-1,2"
Hercegkút,Kistelepülés,607,"10,9",387,"9,8",-220,"-1,1"
Káva,Kistelepülés,894,"10,1",1815,"7,5",921,"-2,6"
Nógrádsipek,Kistelepülés,1002,"9,9",1941,"7,3",939,"-2,6"
Nagyveleg,Kistelepülés,1350,"9,3",1214,"8,2",-136,"-1,1"
Nekézseny,Kistelepülés,1720,"8,7",2033,"7,2",313,"-1,5"
Diósviszló,Kistelepülés,2601,"7,3",2388,"6,8",-213,"-0,5"
Epöl,Kistelepülés,1694,"8,8",1460,"7,9",-234,"-0,9"
Botpalád,Kistelepülés,2688,7,2693,"6,1",5,"-0,9"
Ivánc,Kistelepülés,1451,"9,1",1630,"7,7",179,"-1,4"
Bekölce,Kistelepülés,843,"10,2",667,"9,1",-176,"-1,1"
Nemesgörzsöny,Kistelepülés,1289,"9,4",1683,"7,6",394,"-1,8"
Csegöld,Kistelepülés,2109,"8,2",1627,"7,7",-482,"-0,5"
Himod,Kistelepülés,1828,"8,6",1702,"7,6",-126,-1
Kökény,Kistelepülés,1112,"9,7",1470,"7,9",358,"-1,8"
Bikal,Kistelepülés,1127,"9,7",1535,"7,8",408,"-1,9"
Mesterszállás,Kistelepülés,494,"11,3",947,"8,6",453,"-2,7"
Galgaguta,Kistelepülés,568,"11,1",786,"8,8",218,"-2,3"
Somlószőlős,Kistelepülés,1107,"9,7",1154,"8,3",47,"-1,4"
Csobaj,Kistelepülés,1317,"9,3",1261,"8,1",-56,"-1,2"
Hevesvezekény,Kistelepülés,2221,"8,1",1458,"7,9",-763,"-0,2"
Kerékteleki,Kistelepülés,1460,"9,1",1496,"7,8",36,"-1,3"
Királd,Kistelepülés,1193,"9,5",1357,8,164,"-1,5"
Abaliget,Kistelepülés,665,"10,8",505,"9,5",-160,"-1,3"
Zemplénagárd,Kistelepülés,1813,"8,6",2365,"6,8",552,"-1,8"
Homokbödöge,Kistelepülés,748,"10,5",670,"9,1",-78,"-1,4"
Kemenesszentpéter,Kistelepülés,2124,"8,2",1775,"7,5",-349,"-0,7"
Újdombrád,Kistelepülés,1974,"8,4",1946,"7,3",-28,"-1,1"
Vécs,Kistelepülés,1250,"9,4",2225,7,975,"-2,4"
Nagyrév,Kistelepülés,1776,"8,6",1955,"7,3",179,"-1,3"
Nemesvid,Kistelepülés,2608,"7,3",1736,"7,6",-872,"0,3"
Szántód,Kistelepülés,7,"19,4",77,"11,8",70,"-7,6"
Hosszúpereszteg,Kistelepülés,1238,"9,4",1699,"7,6",461,"-1,8"
Vát,Kistelepülés,1734,"8,7",1885,"7,4",151,"-1,3"
Zalatárnok,Kistelepülés,2476,"7,6",2173,"7,1",-303,"-0,5"
Belezna,Kistelepülés,2322,"7,9",1875,"7,4",-447,"-0,5"
Sajóivánka,Kistelepülés,993,"9,9",1205,"8,2",212,"-1,7"
Vezseny,Kistelepülés,1347,"9,3",668,"9,1",-679,"-0,2"
Tiszamogyorós,Kistelepülés,2405,"7,7",2214,7,-191,"-0,7"
Tisztaberek,Kistelepülés,2562,"7,4",2380,"6,8",-182,"-0,6"
Cégénydányád,Kistelepülés,1932,"8,5",1329,8,-603,"-0,5"
Csővár,Kistelepülés,1743,"8,7",1675,"7,6",-68,"-1,1"
Ferencszállás,Kistelepülés,497,"11,3",731,"8,9",234,"-2,4"
Nógrádkövesd,Kistelepülés,325,"12,1",605,"9,2",280,"-2,9"
Zsurk,Kistelepülés,1773,"8,7",1782,"7,5",9,"-1,2"
Bogyoszló,Kistelepülés,1948,"8,5",1894,"7,4",-54,"-1,1"
Siójut,Kistelepülés,1594,"8,9",2236,7,642,"-1,9"
Acsád,Kistelepülés,1798,"8,6",1731,"7,6",-67,-1
Kapoly,Kistelepülés,1044,"9,8",2137,"7,1",1093,"-2,7"
Öttömös,Kistelepülés,980,"9,9",2095,"7,2",1115,"-2,7"
Rozsály,Kistelepülés,703,"10,6",709,9,6,"-1,6"
Fertőendréd,Kistelepülés,463,"11,5",1421,"7,9",958,"-3,6"
Királyhegyes,Kistelepülés,1153,"9,6",1484,"7,8",331,"-1,8"
Szabás,Kistelepülés,2531,"7,5",2615,"6,4",84,"-1,1"
Nagyacsád,Kistelepülés,998,"9,9",1264,"8,1",266,"-1,8"
Rábacsécsény,Kistelepülés,252,"12,6",750,"8,9",498,"-3,7"
Zalabaksa,Kistelepülés,685,"10,7",1331,8,646,"-2,7"
Lucfalva,Kistelepülés,2152,"8,2",2217,7,65,"-1,2"
Tiszaladány,Kistelepülés,1303,"9,3",998,"8,5",-305,"-0,8"
Nagyrozvágy,Kistelepülés,1684,"8,8",823,"8,8",-861,0
Szajla,Kistelepülés,1971,"8,4",2198,7,227,"-1,4"
Sótony,Kistelepülés,2284,8,2215,7,-69,-1
Győrvár,Kistelepülés,1416,"9,2",1611,"7,7",195,"-1,5"
Bátorliget,Kistelepülés,1954,"8,5",2354,"6,8",400,"-1,7"
Nógrádszakál,Kistelepülés,2520,"7,5",2439,"6,7",-81,"-0,8"
Fityeház,Kistelepülés,1626,"8,9",2129,"7,1",503,"-1,8"
Mezősas,Kistelepülés,1564,9,1723,"7,6",159,"-1,4"
Terem,Kistelepülés,2170,"8,1",2330,"6,9",160,"-1,2"
Balatonőszöd,Kistelepülés,934,10,302,"10,1",-632,"0,1"
Imrehegy,Kistelepülés,2684,7,2523,"6,5",-161,"-0,5"
Hevesaranyos,Kistelepülés,2380,"7,8",1623,"7,7",-757,"-0,1"
Oszkó,Kistelepülés,1321,"9,3",1449,"7,9",128,"-1,4"
Szulok,Kistelepülés,1106,"9,7",534,"9,4",-572,"-0,3"
Ábrahámhegy,Kistelepülés,598,11,134,11,-464,0
Tiszaadony,Kistelepülés,2579,"7,4",2279,"6,9",-300,"-0,5"
Jákó,Kistelepülés,2387,"7,8",2433,"6,7",46,"-1,1"
Mike,Kistelepülés,2619,"7,3",2577,"6,4",-42,"-0,9"
Bucsu,Kistelepülés,1369,"9,2",1447,"7,9",78,"-1,3"
Ete,Kistelepülés,890,"10,1",1381,8,491,"-2,1"
Bakonytamási,Kistelepülés,2007,"8,4",1912,"7,4",-95,-1
Pári,Kistelepülés,2477,"7,6",2108,"7,1",-369,"-0,5"
Pálosvörösmart,Kistelepülés,492,"11,3",292,"10,1",-200,"-1,2"
Nagybörzsöny,Kistelepülés,223,"12,8",859,"8,7",636,"-4,1"
Olasz,Kistelepülés,610,"10,9",943,"8,6",333,"-2,3"
Taktabáj,Kistelepülés,2661,"7,1",2626,"6,3",-35,"-0,8"
Pátyod,Kistelepülés,885,"10,1",1168,"8,3",283,"-1,8"
Sátorhely,Kistelepülés,742,"10,5",1425,"7,9",683,"-2,6"
Telkibánya,Kistelepülés,108,"13,9",116,"11,1",8,"-2,8"
Kovácsvágás,Kistelepülés,2586,"7,3",2446,"6,7",-140,"-0,6"
Györe,Kistelepülés,1994,"8,4",2022,"7,2",28,"-1,2"
Sümegprága,Kistelepülés,1637,"8,8",1076,"8,4",-561,"-0,4"
Abaújkér,Kistelepülés,1097,"9,7",1718,"7,6",621,"-2,1"
Magyarhertelend,Kistelepülés,134,"13,6",52,"12,4",-82,"-1,2"
Nagypáli,Kistelepülés,1055,"9,8",527,"9,4",-528,"-0,4"
Moha,Kistelepülés,1875,"8,5",1170,"8,3",-705,"-0,2"
Ragály,Kistelepülés,1165,"9,6",1783,"7,5",618,"-2,1"
Vértestolna,Kistelepülés,1356,"9,3",1398,8,42,"-1,3"
Felsőnána,Kistelepülés,2400,"7,7",2248,7,-152,"-0,7"
Kokad,Kistelepülés,2502,"7,6",2292,"6,9",-210,"-0,7"
Sárkeszi,Kistelepülés,1540,9,868,"8,7",-672,"-0,3"
Sárpilis,Kistelepülés,1761,"8,7",2046,"7,2",285,"-1,5"
Beleg,Kistelepülés,2450,"7,7",2353,"6,8",-97,"-0,9"
Pécsely,Kistelepülés,258,"12,6",984,"8,5",726,"-4,1"
Csapod,Kistelepülés,2081,"8,3",1374,8,-707,"-0,3"
Szálka,Kistelepülés,654,"10,8",758,"8,9",104,"-1,9"
Kispalád,Kistelepülés,2681,7,2813,"5,5",132,"-1,5"
Nágocs,Kistelepülés,1698,"8,8",1724,"7,6",26,"-1,2"
Szuha,Kistelepülés,552,"11,1",1150,"8,3",598,"-2,8"
Tapsony,Kistelepülés,2363,"7,8",2282,"6,9",-81,"-0,9"
Túrricse,Kistelepülés,2241,8,1663,"7,6",-578,"-0,4"
Salomvár,Kistelepülés,1376,"9,2",1085,"8,4",-291,"-0,8"
Alsópetény,Kistelepülés,656,"10,8",345,"9,9",-311,"-0,9"
Kétpó,Kistelepülés,1539,9,616,"9,2",-923,"0,2"
Szátok,Kistelepülés,2540,"7,4",2742,"5,9",202,"-1,5"
Csányoszró,Kistelepülés,2545,"7,4",2319,"6,9",-226,"-0,5"
Csaroda,Kistelepülés,900,"10,1",551,"9,3",-349,"-0,8"
Hunya,Kistelepülés,954,10,1428,"7,9",474,"-2,1"
Felsővadász,Kistelepülés,2710,"6,9",2608,"6,4",-102,"-0,5"
Mersevát,Kistelepülés,1214,"9,5",886,"8,7",-328,"-0,8"
Tófalu,Kistelepülés,1523,9,1960,"7,3",437,"-1,7"
Nagykökényes,Kistelepülés,520,"11,2",1914,"7,3",1394,"-3,9"
Piliny,Kistelepülés,1180,"9,6",2054,"7,2",874,"-2,4"
Tornyosnémeti,Kistelepülés,1676,"8,8",589,"9,2",-1087,"0,4"
Surd,Kistelepülés,2179,"8,1",1570,"7,7",-609,"-0,4"
Bánokszentgyörgy,Kistelepülés,1532,9,1383,8,-149,-1
Gelej,Kistelepülés,550,"11,1",1128,"8,3",578,"-2,8"
Bálványos,Kistelepülés,2199,"8,1",2350,"6,8",151,"-1,3"
Herencsény,Kistelepülés,1592,"8,9",2331,"6,9",739,-2
Paloznak,Kistelepülés,415,"11,7",69,12,-346,"0,3"
Ipolyszög,Kistelepülés,1443,"9,1",2277,"6,9",834,"-2,2"
Magyaregres,Kistelepülés,1660,"8,8",1615,"7,7",-45,"-1,1"
Sóly,Kistelepülés,1536,9,578,"9,3",-958,"0,3"
Alsóújlak,Kistelepülés,1981,"8,4",2200,7,219,"-1,4"
Csatár,Kistelepülés,2009,"8,4",1300,"8,1",-709,"-0,3"
Hangács,Kistelepülés,1777,"8,6",1587,"7,7",-190,"-0,9"
Bár,Kistelepülés,1517,9,1244,"8,2",-273,"-0,8"
Rétalap,Kistelepülés,2140,"8,2",1919,"7,3",-221,"-0,9"
Dunaszentmiklós,Kistelepülés,895,"10,1",632,"9,2",-263,"-0,9"
Golop,Kistelepülés,1569,9,1029,"8,4",-540,"-0,6"
Vasboldogasszony,Kistelepülés,2022,"8,4",1681,"7,6",-341,"-0,8"
Alsószentiván,Kistelepülés,1976,"8,4",1636,"7,7",-340,"-0,7"
Csömödér,Kistelepülés,1305,"9,3",1109,"8,3",-196,-1
Söréd,Kistelepülés,1290,"9,4",639,"9,1",-651,"-0,3"
Érsekhalma,Kistelepülés,1891,"8,5",2036,"7,2",145,"-1,3"
Máriakéménd,Kistelepülés,2357,"7,9",2389,"6,8",32,"-1,1"
Vérteskethely,Kistelepülés,1718,"8,7",1588,"7,7",-130,-1
Lad,Kistelepülés,1996,"8,4",1823,"7,5",-173,"-0,9"
Nick,Kistelepülés,1094,"9,7",1092,"8,4",-2,"-1,3"
Romonya,Kistelepülés,1312,"9,3",1145,"8,3",-167,-1
Kőszegszerdahely,Kistelepülés,313,"12,2",1338,8,1025,"-4,2"
Felsőpetény,Kistelepülés,739,"10,5",851,"8,7",112,"-1,8"
Nyírderzs,Kistelepülés,2700,"6,9",2572,"6,5",-128,"-0,4"
Pusztaszentlászló,Kistelepülés,1581,9,884,"8,7",-697,"-0,3"
Orci,Kistelepülés,1646,"8,8",1294,"8,1",-352,"-0,7"
Radostyán,Kistelepülés,1550,9,1477,"7,8",-73,"-1,2"
Tiszavid,Kistelepülés,2669,"7,1",2672,"6,2",3,"-0,9"
Töttös,Kistelepülés,1643,"8,8",1821,"7,5",178,"-1,3"
Tüskevár,Kistelepülés,1025,"9,9",1288,"8,1",263,"-1,8"
Szögliget,Kistelepülés,1401,"9,2",562,"9,3",-839,"0,1"
Szanda,Kistelepülés,853,"10,2",1598,"7,7",745,"-2,5"
Cirák,Kistelepülés,2398,"7,8",2241,7,-157,"-0,8"
